# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
DWINDLE|Get smaller and smaller
DYNAMIC|Full of energy
DYNASTY|Line of rulers
EARLIER|Before that
EARNEST|Deadly serious
EARNING|Working for it
EARRING|Lobe jewelry
EARTHLY|Of this world
EASIEST|Least trouble of all
EASTERN|Toward the sunrise
EATABLE|Fit to eat
ECHOING|Bouncing back
ECLIPSE|Sun's blackout
ECONOMY|Coach class, or the nation's money
ECSTASY|Sheer bliss
EDITING|Blue-pencilling
EDITION|One printing of the paper
EDITORS|Ones with red pens
EDUCATE|Teach
EFFORTS|Attempts
ELASTIC|Stretchy
ELDERLY|On in years
ELECTED|Voted in
ELEMENT|Iron or oxygen
ELEVATE|Raise up
EMBARGO|Trade ban
EMBASSY|Ambassador's building
EMBLEMS|Badges
EMBRACE|Hug
EMERALD|Green gem
EMERGED|Came out
EMOTION|Feeling
EMPEROR|Empire's ruler
EMPIRES|Rome and Britain, once
EMPLOYS|Puts on the payroll
EMPTIED|Poured out
ENABLED|Made possible
ENACTED|Made it law
ENCHANT|Cast a spell over
ENCLOSE|Fence it in
ENDLESS|Going on forever
ENDORSE|Put your name behind
ENDURED|Put up with it
ENEMIES|The other side
ENFORCE|Make them keep to it
ENGAGED|About to marry
ENGINES|What's under the hood
ENGLAND|London's country
ENGLISH|The language of Shakespeare
ENGRAVE|Cut it into the metal
ENHANCE|Make better
ENJOYED|Had a good time with
ENLARGE|Blow it up
ENLIVEN|Put some life into
ENQUIRE|Ask about
ENSURED|Made certain of
ENTERED|Went in
ENTICED|Tempted in
ENTITLE|Give the right to
ENTRANT|One in the competition
ENVELOP|Wrap right round
ENVIOUS|Green-eyed
EPISODE|One of the series
EQUALLY|In fair shares
EQUATOR|The middle line
ERASERS|Pencil ends
EROSION|What the sea does to the cliff
ERRANDS|Little trips out
ERUPTED|Blew its top
ESCAPED|Got away
ESSENCE|The heart of it
ETERNAL|Everlasting
ETHICAL|Above board
EVASIVE|Not answering straight
EVENING|After dinner
EVIDENT|Plain to see
EXACTLY|Precisely
EXALTED|Raised high
EXAMINE|Look closely at
EXAMPLE|For instance
EXCEEDS|Goes over
EXCERPT|Passage taken from it
EXCITED|Really keyed up
EXCLAIM|Cry out
EXCLUDE|Leave out
EXCUSED|Let off
EXECUTE|Carry it out
EXHAUST|Car's pipe, or wear out
EXHIBIT|Museum piece
EXHUMED|Dug up again
EXPANDS|Grows bigger
EXPECTS|Counts on it
EXPENSE|What it costs you
EXPERTS|The ones who know
EXPIRED|Out of date
EXPLAIN|Make it clear
EXPLODE|Go off with a bang
EXPLOIT|Take advantage of
EXPLORE|Go and look
EXPORTS|What the country sells abroad
EXPOSED|Brought to light
EXPRESS|Fast train
EXTENDS|Reaches further
EXTINCT|Gone for good
EXTRACT|Pull it out
EYEBALL|Socket's occupant
EYEBROW|Above the eye
EYELASH|Lid's fringe
EYELIDS|They close for sleep
FABRICS|Bolts at the cloth shop
FACIALS|Spa treatments
FACTION|Splinter group
FACTORS|What goes into it
FACTORY|Where they make it
FACULTY|Teaching staff
FAILING|Not managing it
FAILURE|Not a success
FAINTED|Passed out
FAINTLY|Only just
FAIREST|Most just of all
FAIRIES|Storybook sprites
FALCONS|Hunting birds
FALLING|On the way down
FALSELY|Wrongly
FAMINES|Widespread hunger
FANCIED|Rather liked
FANFARE|Trumpets' announcement
FANTASY|Make-believe
FARMERS|Field workers
FARTHER|Further off
FASHION|Style of the moment
FASTEST|Quickest of all
FATEFUL|The day it all turned
FATIGUE|Real tiredness
FAULTY|Not working right
FAVORED|Preferred
FEARFUL|In a fright
FEASTED|Ate well
FEATHER|Bird's covering
FEATURE|Main film, or a selling point
FEEDING|Giving food to
FEELING|Emotion
FELLOWS|Chaps
FENCING|Sword sport
FERMENT|Turn the grapes
FERRETS|Long thin hunters
FERRIES|Harbor boats
FERTILE|Good for growing
FESTIVE|In holiday spirits
FICTION|Made-up stories
FIDDLED|Fussed with it
FIDGETS|Can't sit still
FIELDER|One in the outfield
FIERCER|More savage
FIFTEEN|Three fives
FIGHTER|One in the ring
FIGURED|Worked it out
FIGURES|Numbers
FILLING|Sandwich's inside
FILMING|On location
FILTERS|Coffee papers
FINALLY|At long last
FINANCE|Money matters
FINDING|What the report says
FINGERS|Digits on the hand
FINLAND|Helsinki's country
FIREMAN|One on the engine
FIREFLY|Glowing night insect
FIRMEST|Most solid of all
FISHERY|Where they catch them
FISHING|Rod and line pursuit
FITNESS|Being in shape
FITTING|Suitable, or a try-on
FIXTURE|Match on the calendar
FLAGGED|Waved it down, or tired
FLAMING|On fire
FLANNEL|Soft cloth
FLARING|Blazing up
FLASHED|Blinked bright
FLATTEN|Level it out
FLATTER|Butter them up
FLAVORS|Vanilla and chocolate
FLEEING|Running away
FLICKER|Candle's waver
FLIGHTS|Departures board list
FLIMSY|Won't stand up
FLIPPED|Turned over
FLIPPER|Seal's limb
FLOATED|Stayed on top
FLOCKED|Came in numbers
FLOODED|Under water
FLOORED|Knocked down, or astonished
FLOPPED|Fell flat
FLORIDA|Sunshine State
FLORIST|Flower seller
FLOWERS|Bouquet's contents
FLOWING|Running along
FLUSHED|Red in the face
FLUTTER|Butterfly's motion
FLYOVER|Road bridge
FOCUSED|Sharply set
FOGGIER|Harder to see through
FOLDERS|Where the papers go
FOLDING|Creasing over
FOLIAGE|The greenery
FOLLOWS|Comes after
FONDEST|Most affectionate
FOOLING|Kidding around
FOOLISH|Not very sensible
FOOTAGE|Film shot
FOOTMAN|Livery servant
FOOTING|Where you stand
FOREARM|Elbow to wrist
FOREIGN|From abroad
FOREMAN|Site boss
FORESEE|Know it's coming
FORESTS|Big woods
FOREVER|For all time
FORGAVE|Let it go
FORGERY|Faked signature
FORGETS|Lets it slip
FORGING|Working the metal
FORGIVE|Let it go
FORMATS|Layouts
FORMING|Taking shape
FORMULA|The recipe for it
FORTUNE|A great pile of money
FORWARD|Ahead
FOUNDER|The one who started it
FRAGILE|Handle with care
FRAMING|Putting it behind glass
FRANTIC|In a real state
FREEDOM|Liberty
FREEING|Letting go
FREEWAY|Fast road
FREEZER|Where the ice cream is
FREIGHT|Cargo
FRESHEN|Perk it up
FRESHER|More recently picked
FRETTED|Worried away
FRIENDS|Ones you can call
FRIGHTS|Scares
FRISBEE|Park disc
FRONTAL|Head-on
FROSTED|Iced over
FROTHED|Bubbled up
FROWNED|Furrowed the brow
FULFILL|Carry it out
FUMBLED|Dropped the ball
FUNERAL|Where the eulogy is read
FUNNIER|More of a laugh
FURIOUS|Absolutely livid
FURNACE|Basement heater
FURNISH|Kit the room out
FURTHER|Beyond that
GADGETS|Handy little devices
GALLANT|Nobly brave
GALLERY|Where the paintings hang
GALLONS|Four quarts each
GALLOPS|Rides flat out
GAMBLED|Chanced it
GAMBLER|One at the tables
GARAGES|Where the cars sleep
GARBAGE|Rubbish
GARDENS|Where you grow things
GARLAND|Flower chain
GARMENT|Item of clothing
GARNISH|Plate's finishing touch
GASEOUS|Neither solid nor liquid
GATEWAY|Grand entrance
GATHERS|Brings together
GENERAL|Top brass
GENESIS|The very beginning
GENUINE|The real thing
GEOLOGY|Study of rocks
GERMANY|Berlin's country
GESTURE|Wave of the hand
GETAWAY|Robber's escape
GHASTLY|Absolutely dreadful
GIGGLED|Laughed lightly
GILDING|Gold leaf work
GINGHAM|Checked cotton
GIRAFFE|Long-necked browser
GLACIER|Slow river of ice
GLADDEN|Cheer them up
GLAMOUR|Hollywood shine
GLANCED|Took a quick look
GLARING|Blindingly bright
GLASSES|Spectacles
GLEAMED|Shone
GLIMMER|Faint light
GLIMPSE|Quick sight of
GLISTEN|Shine with wet
GLITTER|Craft sparkle
GLORIES|Great triumphs
GLOWING|Softly lit
GNAWING|Chewing away at
GOBBLED|Ate fast
GODDESS|Athena, for one
GOGGLES|Swimmer's eyewear
GOODBYE|Parting word
GORILLA|Big ape
GOSPELS|Matthew, Mark, Luke and John
GOURMET|Fine food lover
GOVERNS|Rules the country
GRABBED|Snatched
GRADING|Marking the papers
GRADUAL|Bit by bit
GRAFTED|Joined on
GRAMMAR|Rules of the language
GRANDLY|In great style
GRANDMA|Mother's mother
GRANDPA|Mother's father
GRANITE|Hard speckled rock
GRANTED|Taken for
GRAPHIC|Vividly detailed
GRAPPLE|Wrestle with
GRASPED|Took hold of
GRASSES|Lawn plants
GRATING|Harsh on the ear
GRAVELY|Very seriously
GRAVITY|What keeps you down
GRAZING|Cattle's meal
GREASED|Oiled up
GREATER|Bigger
GREENER|More lush
GREETED|Said hello to
GRENADE|Thrown explosive
GRIEVED|Mourned
GRILLED|Barbecued, or questioned hard
GRIMACE|Pained face
GRINDER|Coffee bean mill
GRINNED|Smiled wide
GRIPPED|Held tight
GRITTED|Clenched the teeth
GROANED|Made a sound of pain
GROCERS|Food shopkeepers
GROOMED|Made presentable
GROOVES|Record's tracks
GROUNDS|Coffee's leavings, or the estate
GROUPED|Put together
GROWERS|Ones who raise the crop
GROWING|Getting bigger
GRUMBLE|Moan quietly
GUARDED|Watched over
GUESSED|Took a stab
GUIDING|Showing the way
GUITARS|Six-string instruments
GUMDROP|Chewy sweet
GUNBOAT|Armed patrol craft
GUSHING|Pouring out
GUTTERS|Roof channels
GYMNAST|Beam performer
HABITAT|Where it lives
HAIRCUT|Barber's work
HAIRPIN|Kind of bend
HALLWAY|Corridor
HALTING|Coming to a stop
HAMLETS|Little villages
HAMMERS|Nail drivers
HAMPERS|Laundry baskets
HANDBAG|Purse
HANDFUL|As much as you can hold
HANDGUN|Pistol
HANDIER|More useful
HANDLED|Dealt with
HANDLES|Door grips
HANGARS|Where the planes park
HANGERS|Coat holders
HANGING|Suspended
HAPLESS|Luckless
HAPPENS|Takes place
HAPPIER|In better spirits
HAPPILY|Ever after
HARBORS|Where the boats shelter
HARDEST|Toughest of all
HARDIER|Better able to take it
HARMFUL|It does damage
HARMONY|Singing in it
HARNESS|Horse's straps
HARPIST|String plucker
HARSHER|More severe
HARVEST|Autumn gathering
HASSLES|Bothers
HATCHET|Small axe
HATEFUL|Full of loathing
HAULAGE|Freight moving
HAUNTED|Ghost-ridden
HAWKING|Selling in the street
HAZARDS|Dangers
HEADING|Title at the top
HEALING|Getting better
HEALTHY|In good shape
HEARING|Court session, or the sense
HEARSAY|Not first hand
HEARTHS|Fireplaces
HEATERS|Room warmers
HEATING|Boiler's job
HEAVENS|Good
HEAVIER|Weighing more
HEAVILY|With real weight
HECKLED|Shouted at the act
HEDGING|Not committing
HEIGHTS|Tall places
HEIRESS|Fortune's inheritor
HELPFUL|Ready to lend a hand
HELPING|Serving on the plate
HEMLOCK|Poisonous plant
HERDING|Driving the flock
HEROINE|The leading lady
HERRING|Red one, in a mystery
HEXAGON|Six-sided shape
HIBACHI|Little charcoal grill
HIDEOUT|Where the gang lies low
HIGHEST|Topmost
HIGHWAY|Main road
HILLTOP|Where the view is
HINDERS|Gets in the way of
HINTING|Dropping clues
HIPBONE|Pelvis part
HISTORY|The past
HITCHED|Married, or towed
HOARDED|Stashed away
HOBBIES|Spare-time pursuits
HOISTED|Hauled up
HOLDERS|Cup carriers
HOLDING|Keeping hold of
HOLIDAY|Time off
HOLIEST|Most sacred of all
HOLLOWS|Little dips in the ground
HONESTY|Straight dealing
HONORED|Given the tribute
HOOKING|Catching on
HOOTING|Owl's night sound
HOPEFUL|Looking on the bright side
HOPPING|Bunny's move
HORIZON|Where sky meets land
HORMONE|Body's messenger
HORRIFY|Appal utterly
HORRORS|Nightmares
HOSIERY|Stockings department
HOSPICE|End-of-life care home
HOSTAGE|One held for ransom
HOSTELS|Cheap traveler's beds
HOSTESS|Party giver
HOTDOGS|Ballpark food
HOTTEST|Warmest of all
HOUSING|Where people live
HOWEVER|Even so
HUMANLY|As far as possible
HUMBLED|Brought down a peg
HUNDRED|Ten tens
HUNTERS|Ones who track
HUNTING|On the trail
HURDLES|Track barriers
HURLING|Throwing hard
HURRIED|Rushed
HURTING|In pain
HUSBAND|Married man
HUSTLED|Got a move on
HYDRANT|Where the hose connects
HYGIENE|Keeping clean
ICEBERG|Titanic's undoing
ICEPICK|Block splitter
ICICLES|Winter's hanging spikes
IDEALLY|In a perfect world
IGNITED|Set alight
IGNORED|Paid no attention to
ILLEGAL|Against the law
ILLNESS|Being unwell
IMAGERY|Pictures in the writing
IMAGINE|Picture it
IMITATE|Copy
IMMENSE|Absolutely vast
IMMORAL|Plain wrong
IMPACTS|Collisions
IMPERIL|Put in danger
IMPLIED|Hinted at
IMPLIES|Suggests
IMPORTS|What the country buys in
IMPOSED|Forced it on them
IMPRESS|Win them over
IMPRINT|Mark left behind
IMPROVE|Get better
IMPULSE|Sudden urge
INCLINE|Slope
INCLUDE|Take it in
INCOMES|What people earn
INDEXED|Listed at the back
INDOORS|Out of the weather
INDULGE|Treat yourself
INERTIA|Reluctance to move
INFANCY|The earliest days
INFANTS|The very young
INFERNO|Raging fire
INFLAME|Make it worse
INFLATE|Pump it up
INFLICT|Deal it out
INFORMS|Lets them know
INHABIT|Live in
INHALED|Breathed in
INHERIT|Get it from the will
INITIAL|First letter
INJURED|Hurt
INKWELL|Desk's old fitting
INSECTS|Six-legged crawlers
INSERTS|Slips it in
INSIDER|One in the know
INSIGHT|Sharp understanding
INSISTS|Won't let it drop
INSPECT|Look it over
INSPIRE|Fire them up
INSTALL|Fit it in place
INSTANT|Right away
INSTEAD|In place of
INSULAR|Cut off and narrow
INSULIN|Diabetes injection
INSULTS|Rude remarks
INSURED|Covered by the policy
INSURER|Policy provider
INTEGER|Whole number
INTENSE|Very strong indeed
INTERIM|For the time being
INTERNS|Trainees
INTRUDE|Barge in
INVADED|Marched in
INVADER|One who crosses the border
INVALID|Not good in law
INVERSE|The other way round
INVITED|Asked along
INVITES|Party cards
INVOICE|Bill
INVOKED|Called upon
INVOLVE|Draw them in
INWARDS|Toward the middle
IRELAND|Dublin's country
IRONIES|Twists of fate
IRONING|Board's business
ISLANDS|Land in the sea
ISOLATE|Keep it apart
ISSUING|Handing out
ITALIAN|Of Rome
ITCHING|Wanting a scratch
JACKALS|Desert scavengers
JACKETS|Coats
JAMMING|Playing along, or blocking
JANITOR|School cleaner
JEALOUS|Green-eyed
JERSEYS|Team shirts
JEWELRY|Rings and necklaces
JOCKEYS|Silk wearers
JOGGING|Slow running
JOINING|Becoming a member
JOINTLY|Both together
JOURNAL|Diary
JOURNEY|Long trip
JOYRIDE|Stolen car spin
JUBILEE|Big anniversary
JUGGLED|Kept three in the air
JUGGLER|Circus act
JUMPERS|Woolly tops
JUMPING|Leaping
JUNGLES|Thick tropical forests
JUNIORS|The younger ones
JUSTICE|Fair dealing
JUSTIFY|Give a reason for
KEEPERS|Net minders
KENNELS|Where the dogs board
KERNELS|Corn's grains
KETCHUP|Fries' partner
KETTLES|They whistle
KEYHOLE|Where you peep
KICKING|Booting it
KIDNEYS|Body's filters
KILLING|Slaying
KINDEST|Most thoughtful of all
KINDLED|Got the fire going
KINGDOM|Realm
KISSING|Under the mistletoe
KITCHEN|Where the cooking is
KITTENS|Young cats
KNEELED|Went down on one knee
KNIGHTS|Round Table members
KNITTED|Made with needles
KNOCKED|Rapped on the door
KNOTTED|Tied up
KNOWING|Aware
KNUCKLE|Finger's joint
LABELED|Named with a sticker
LABORER|Manual worker
LACKING|Short of it
LACQUER|Hard glossy finish
LADDERS|Snakes' partners
LAGOONS|Sheltered shallow waters
LAMBING|Spring on the farm
LAMPOON|Send them up
LANDING|Top of the stairs
LANGUID|Slow and relaxed
LANTERN|Hanging light
LAPTOPS|Portable computers
LARGELY|For the most part
LARGEST|The biggest of all
LASHING|Whipping
LASTING|It will keep
LATCHES|Gate fasteners
LATERAL|To the side
LATTICE|Crossed garden frame
LAUGHED|Got the joke
LAUNDER|Wash the linen
LAWSUIT|Court action
LAWYERS|Bar members
LAYERED|In several thicknesses
LAYOUTS|How the pages sit
LEADERS|The ones out front
LEADING|Out in front
LEAFLET|Handout
LEAGUES|Where the teams play
LEAKAGE|What the drip lets out
LEANING|Tilting
LEARNED|Took it in
LEARNER|Beginner
LEASING|Renting out
LEATHER|Shoe material
LEAVING|Departing
LECTURE|Hall talk
LEFTIST|On the political left
LEGALLY|In the eyes of the law
LEGENDS|Great ones
LEGIBLE|You can read it
LEGROOM|What economy lacks
LEISURE|Free time
LENDING|Loaning out
LENGTHS|Pool laps
LENIENT|Going easy on them
LEOPARD|Spotted cat
LESSENS|Cuts down
LESSONS|What the teacher gives
LETTERS|Mail
LETTUCE|Salad leaf
LEVERED|Prised it up
LIBERAL|Open-minded
LIBERTY|Freedom
LIBRARY|Where the books are borrowed
LICENSE|Driver's card
LICKING|Ice cream action
LIFTING|Raising
LIGHTED|Lit up
LIGHTER|Cigarette's flame
LIGHTLY|With a soft touch
LIKABLE|Easy to get on with
LIKENED|Compared to
LIMITED|Only so many
LINEAGE|Family line
LINGERS|Hangs about
LINKAGE|The connection
LIQUEUR|After-dinner drink
LIQUIDS|Neither solids nor gases
LISTING|Property ad
LITERAL|To the letter
LITTERS|Batches of pups
LIVABLE|Fit to live in
LIVIDLY|In a fury
LOAFERS|Slip-on shoes
LOATHED|Absolutely hated
LOBBIES|Hotel entrances
LOBSTER|Clawed shellfish
LOCALLY|Round here
LOCATED|Found
LOCKERS|Hallway cubbies
LOCKETS|Photo pendants
LODGING|Bed for the night
LOFTIER|Higher up
LOGICAL|It follows
LONGEST|Least short of all
LONGING|Deep yearning
LOOKING|Having a peek
LOOSELY|Not tightly
LOOTING|Riot's aftermath
LOTTERY|Ticket draw
LOUDEST|Noisiest of all
LOUNGES|Sitting rooms
LOUVERS|Slatted shutters
LOVABLE|Easy to be fond of
LOWERED|Brought down
LOYALLY|Faithfully
LOYALTY|Staying true
LUCKIER|More fortunate
LUCKILY|As it happened
LUGGAGE|What the porter carries
LULLABY|Bedtime song
LUNCHES|Midday meals
LURCHED|Staggered sideways
LURKING|Waiting unseen
MACHINE|Factory floor equipment
MADNESS|Sheer lunacy
MAESTRO|Master conductor
MAGENTA|Purplish pink
MAGICAL|Enchanting
MAGNETS|Fridge stickers
MAGNIFY|Make it look bigger
MAILBAG|Postman's carry
MAILBOX|Where the letters land
MAILMAN|Post deliverer
MAJESTY|Your
MALARIA|Mosquito-borne fever
MAMMALS|Whales and humans
MANAGED|Got it done
MANAGER|The one in charge
MANDATE|The order from above
MANGERS|Nativity cribs
MANHOOD|Grown-up years for him
MANHOLE|Street cover
MANIACS|Wild ones
MANKIND|All of us
MANNERS|Please and thank you
MANSION|Very grand house
MANTELS|Above the fireplaces
MANUALS|The books that came with it
MAPPING|Charting it out
MARBLES|Shooter's collection
MARCHED|Stepped in time
MARGINS|Page's blank edges
MARINER|Sailor
MARITAL|Of marriage
MARKERS|Felt-tip pens
MARKETS|Where the stalls are
MARQUEE|Big tent, or the theater sign
MARRIED|Wed
MARSHES|Wetlands
MARTIAL|Of the fighting arts
MARVELS|Wonders
MASCOTS|Sideline costumes
MASSAGE|Rub down
MASSIVE|Absolutely huge
MASTERS|The ones in charge
MATCHED|Paired up
MATCHES|Fire starters
MATTERS|Things that count
MATURED|Grew up
MAXIMUM|The most there can be
MEADOWS|Grassy fields
MEANING|What it says
MEASURE|Take the size of
MEATIER|With more to it
MEDDLED|Interfered
MEDIANS|Middle values
MEDICAL|Of the doctor
MEETING|Diary filler
MELODIC|Nice and tuneful
MELTING|Turning to liquid
MEMBERS|Club's people
MEMENTO|Little keepsake
MEMOIRS|Life story in print
MENDING|Repairing
MENTION|Bring it up
MERCURY|Thermometer's metal
MERGERS|Company weddings
MERMAID|Tailed sea maiden
MESSAGE|Note left
MESSIER|Untidier
METEORS|Shooting stars
METHODS|Ways of doing it
MEXICAN|Of Guadalajara
MIDDLES|Centers
MIDTOWN|Between uptown and downtown
MIDWEEK|Wednesday, roughly
MIDWIFE|Delivery room helper
MIGRANT|One on the move
MIGRATE|Fly south
MILDEST|Least sharp of all
MILEAGE|How far it goes
MILITIA|Citizen soldiers
MILKING|At the dairy
MILLION|Thousand thousand
MIMICRY|Copying exactly
MINDFUL|Keeping it in mind
MINERAL|Rock's content
MINGLED|Worked the party
MINIMAL|As little as possible
MINIMUM|The least there can be
MINUTES|Meeting's record
MIRACLE|A real wonder
MIRRORS|Where you check your hair
MISDEED|Bad act
MISFITS|Ones who don't belong
MISLEAD|Point them the wrong way
MISSING|Not there
MISSION|The assignment
MISTAKE|Error
MISTOOK|Got it wrong
MITTENS|Thumb-only gloves
MIXTURE|Blend
MOCKERY|Making fun of it
MODESTY|Not blowing your own trumpet
MODULAR|Built in sections
MOISTEN|Dampen slightly
MOLDING|Trim round the ceiling
MOMENTS|Just a few of them
MONARCH|Crown wearer
MONDAYS|Back-to-work days
MONITOR|Screen, or keep an eye on
MONKEYS|Zoo swingers
MONSTER|Under the bed
MONTHLY|Once every four weeks
MORNING|Before noon
MORTALS|Not gods
MOSAICS|Little-tile pictures
MOSQUES|Muslim places of worship
MOTHERS|Moms
MOTIONS|Gestures
MOTIVES|What the detective looks for
MOUNTED|Got on the horse
MOURNED|Grieved for
MOUTHED|Said without sound
MOVABLE|It can be shifted
MUFFINS|Blueberry bakes
MUFFLED|Sound-deadened
MUFFLER|Car's silencer, or a scarf
MUMBLED|Spoke unclearly
MUNCHED|Chewed away
MURDERS|Cases for the detective
MURMURS|Low steady sounds
MUSCLES|What the gym builds
MUSEUMS|Where the exhibits are
MUSICAL|Show with songs
MUSKETS|Old long guns
MUSSELS|Steamed shellfish
MUSTANG|Wild western horse
MUSTARD|Hot dog's yellow
MUSTERS|Rounds up
MUTTERS|Grumbles under the breath
MYSTERY|Whodunit
MYSTIFY|Baffle completely
NAGGING|Won't let it go
NAPKINS|Lap cloths
NARRATE|Tell the story over it
NARROWS|Gets tighter
NASTIER|More unpleasant
NATIONS|Countries
NATIVES|Ones born there
NATURAL|Not artificial
NATURES|Characters
NAUGHTY|Not behaving
NEAREST|Closest of all
NEATEST|Tidiest of all
NEBULAS|Space clouds
NECKTIE|Business wear
NEEDIER|Wanting more attention
NEEDLES|They have eyes
NEGLECT|Let it go to ruin
NEITHER|Not one, not the other
NEPHEWS|Sisters' sons
NERVOUS|On edge
NESTING|Building for the eggs
NETTING|Fine mesh
NETWORK|Web of connections
NEUTRAL|Taking no side
NEWBORN|Just arrived
NEWNESS|Being brand new
NEWSMAN|Reporter
NIBBLED|Took little bites
NICKELS|Five-cent pieces
NIGHTLY|Every evening
NIMBLER|Quicker on the feet
NOBLEST|Most high-minded of all
NOISIER|Louder
NOMINAL|In name only
NOMINEE|One put forward
NOODLES|Ramen strands
NOONDAY|Midday
NOSTRIL|Nose's opening
NOTABLE|Worth remarking on
NOTCHES|Little cuts
NOTHING|Zilch
NOTICED|Took it in
NOTICES|Posted signs
NOTIONS|Vague ideas
NOVELTY|Something new
NOWHERE|In the middle of
NUCLEAR|Of the atom
NUCLEUS|The core of it
NUGGETS|Gold finds
NUMBERS|One, two, three
NUMERAL|Roman one, perhaps
NURSERY|Where the toddlers are
NURSING|Ward work
NUTMEGS|Eggnog spices
OARSMAN|One at the sculls
OBELISK|Tall four-sided pillar
OBEYING|Doing as told
OBJECTS|Things
OBLIGED|Had to
OBLIQUE|At a slant
OBSCENE|Beyond the pale
OBSCURE|Little known
OBSERVE|Watch closely
OBTAINS|Gets hold of
OBVIOUS|Plain as day
OCTAGON|Stop sign's shape
OCTOBER|Halloween's month
OCTOPUS|Eight-armed swimmer
ODDBALL|Strange one
ODDNESS|Being peculiar
OFFENSE|The attacking side
OFFERED|Put forward
OFFICER|One with rank
OFFICES|Where the desks are
OILCANS|Lubricant holders
OLDNESS|Being on in years
OLYMPIC|Of the Games
OMELETS|Egg dishes
OMINOUS|A bad sign
OMITTED|Left out
ONESELF|Do it by
ONGOING|Still running
OPENERS|Bottle tools
OPENING|Way in, or the first night
OPERATE|Run it
OPINION|Your take on it
OPPOSED|Against it
OPTICAL|Of the eye
OPTIMAL|The best possible
OPTIONS|Choices
ORANGES|Citrus fruits
ORATORY|Fine public speaking
ORBITAL|Going round
ORCHARD|Where the apples grow
ORCHIDS|Elegant blooms
ORDEALS|Rough times of it
ORDERED|Chose from the menu
ORDERLY|In good order
ORGANIC|No pesticides
ORIGINS|Where it started
ORPHANS|Ones with no parents
OSTRICH|Big flightless bird
OUTAGES|Power cuts
OUTCAST|One shut out
OUTCOME|How it turned out
OUTCROP|Rock breaking the surface
OUTDOOR|In the open air
OUTFITS|Whole ensembles
OUTFLOW|What runs out
OUTINGS|Day trips
OUTLAST|Still going when they've stopped
OUTLAWS|Wanted poster subjects
OUTLETS|Where you plug in
OUTLINE|Sketch the shape
OUTLOOK|How you see things
OUTPOST|Far-flung station
OUTPUTS|What the factory turns out
OUTRAGE|Public fury
OUTRANK|Be above them
OUTSIDE|In the open
OUTWARD|Away from the middle
OUTWITS|Gets the better of
OVATION|Standing applause
OVERALL|All things considered
OVERATE|Had too much
OVERBID|Went too high at auction
OVERDUE|Should have been back
OVEREAT|Have too much
OVERLAP|Cover part of it
OVERLAY|Put on top of
OVERPAY|Give too much
OVERRAN|Went past the time
OVERSEE|Keep an eye on the work
OXFORDS|Lace-up shoes
OYSTERS|Pearl makers
PACKAGE|Doorstep delivery
PACKERS|Ones who box it up
PACKETS|Little parcels
PACKING|Filling the case
PADDING|Soft filling
PADDLED|Moved the canoe
PADDOCK|Horse's field
PADLOCK|Shackle and key
PAGEANT|Beauty contest
PAINFUL|It hurts
PAINTED|Put color on
PAINTER|One with the brush
PAIRING|Putting two together
PAJAMAS|Bedtime wear
PALACES|Where royalty lives
PALETTE|Painter's board
PAMPERS|Spoils rotten
PANCAKE|Syrup's partner
PANICKY|In a flap
PANTHER|Black big cat
PAPERED|Hung the wallpaper
PARABLE|Story with a moral
PARADED|Marched down the street
PARADES|Marching band events
PARADOX|It contradicts itself
PARAGON|Model of perfection
PARCELS|Post office packages
PARDONS|Lets them off
PARENTS|Mom and dad
PARKING|Where you leave the car
PARLORS|Front sitting rooms
PARQUET|Wood block flooring
PARROTS|They repeat what you say
PARSLEY|Garnish herb
PARSNIP|Pale root vegetable
PARTIAL|Only in part
PARTIES|Celebrations
PARTING|Saying goodbye
PARTNER|The other half
PASSAGE|Corridor
PASSING|Going by
PASSION|Burning feeling
PASSIVE|Not taking part
PASTELS|Soft chalky colors
PASTIME|How you fill the hours
PASTORS|Church leaders
PASTURE|Grazing field
PATCHES|Mends on the knees
PATENTS|Inventors' protections
PATHWAY|Route on foot
PATIENT|The one in the bed
PATRIOT|Flag waver
PATROLS|Beat walks
PATTERN|Repeated design
PAUPERS|The very poor
PAUSING|Taking a moment
PAYABLE|Owed now
PAYMENT|What settles the bill
PAYROLL|List of who gets paid
PEACOCK|Fanned tail bird
PEANUTS|Ballpark nuts
PEASANT|Old-time farm worker
PEBBLES|Little smooth stones
PEDALED|Worked the bike
PEDDLER|Door-to-door seller
PEELING|Taking the skin off
PELICAN|Pouch-billed bird
PENALTY|Referee's award
PENCILS|They have erasers
PENDANT|Necklace hanger
PENDING|Still to be decided
PENGUIN|Tuxedoed swimmer
PENNIES|Cents
PENSION|Retirement income
PEONIES|Big blowsy blooms
