ABANDON|Leave behind
SECURE|Locked down
SEDATE|Calm and dignified
SEEING|Believing, they say
SEEKER|One who looks
SELDOM|Not often
SELECT|Pick out
SELLER|The one with the goods
SENATE|Upper chamber
SENDER|Return address name
SENIOR|Twelfth grader
SEQUEL|The follow-up film
SERENE|Perfectly calm
SERIAL|Weekly episode, or a number
SERIES|The whole run of episodes
SERMON|Sunday message
SERVER|Waiter, or a computer
SETTLE|Come to terms
SEVERE|Very bad indeed
SEWAGE|What the drains carry
SEWING|Needle work
SHABBY|Worn and tired
SHADOW|What follows you in the sun
SHAKEN|Not stirred
SHAKER|Salt dispenser
SHAPES|Circles and squares
SHARKS|Ocean predators
SHEARS|Garden clippers
SHEATH|Knife holder
SHEETS|Bed linen
SHELLS|Beach finds
SHIELD|Knight's guard
SHIFTS|Work stints
SHIVER|Cold tremble
SHORTS|Summer pants
SHOULD|Ought to
SHOVEL|Snow clearer
SHOWER|Morning wash
SHRIMP|Cocktail crustacean
SHRINE|Sacred spot
SHRINK|Get smaller
SHRUBS|Bushes
SIDING|House cladding
SIGNAL|Traffic light, or a wave
SILENT|Not a peep
SILVER|Second-place metal
SIMMER|Cook gently
SIMPLE|No trouble at all
SIMPLY|Merely
SINGER|The one at the mic
SINGLE|Just one, or a hit record
SISTER|Brother's sibling
SITTER|Evening childminder
SIZZLE|Steak sound
SKATER|Rink glider
SKATES|Ice blades
SKETCH|Quick pencil drawing
SKEWER|Kebab stick
SKIING|Downhill sport
SKILLS|Abilities
SKINNY|Thin, or the inside story
SKIRTS|Pleated garments
SLALOM|Zigzag ski race
SLEDGE|Snow runner
SLEEPY|Drowsy
SLEEVE|Arm of the shirt
SLEIGH|Runner-borne winter ride
SLICES|Pie portions
SLIGHT|Very small, or a snub
SLOGAN|Advertising line
SLOPPY|Careless
SLOWLY|Take your time
SLUDGE|Thick muck
SMOKER|One who lights up
SMOOTH|Like glass
SMUDGE|Dirty mark
SNACKS|Between-meal bites
SNAKES|Ladders' partners
SNAPPY|Quick about it
SNEEZE|Achoo
SOCCER|The world's game
SOCIAL|Of company and parties
SOCKET|Where the bulb goes
SODIUM|Salt's metal
SOFTEN|Take the edge off
SOFTER|Less firm
SOFTLY|Quietly
SOLEMN|Very serious indeed
SONNET|Fourteen-line poem
SOONER|Earlier
SORBET|Fruit ice
SORROW|Deep sadness
SOUGHT|Looked for
SOUNDS|Noises
SOURCE|Where it came from
SPARKS|Fire's first flecks
SPARSE|Thin on the ground
SPEECH|What the best man gives
SPEEDY|Fast
SPHERE|Ball shape
SPICES|Rack in the kitchen
SPIDER|Web spinner
SPIRAL|Staircase shape
SPIRIT|The soul of it
SPLASH|Cannonball result
SPLICE|Join two ends
SPLINT|Broken finger support
SPOKEN|Said aloud
SPONGE|Bath scrubber
SPOOKY|Ghost-story eerie
SPORTS|Games section
SPOUSE|Husband or wife
SPRAIN|Twisted ankle
SPRAWL|Stretch out
SPREAD|Butter, or lay out
SPRING|The season after winter
SPRINT|All-out dash
SPROUT|Begin to grow
SPRUCE|Christmas tree, or tidy up
SQUARE|Four equal sides
SQUASH|Racquet sport, or a gourd
SQUEAK|Mouse sound
SQUEAL|High pitched cry
SQUIRM|Wriggle uncomfortably
STABLE|Steady, or the horse's home
STAIRS|Up to the second floor
STAMPS|Postage bits
STANCE|How you stand on it
STANDS|Bleachers
STAPLE|Paper fastener
STARCH|Potato's main stuff
STARRY|Full of night lights
STARVE|Go without food
STATES|Fifty of them
STATIC|Radio hiss
STATUE|Bronze figure on a plinth
STATUS|Where things stand
STEADY|Not wobbling
STEAMY|Full of vapor
STEREO|Two-speaker sound
STICKS|Twigs
STICKY|Like syrup
STIFLE|Hold back
STIGMA|The shame attached
STITCH|A single pass of the needle
STOCKS|Market shares
STOLEN|Taken
STONES|Rocks
STORES|Shops
STORMS|Thunder and lightning
STORMY|Wild, as weather
STRAIN|Pull a muscle, or filter
STRAIT|Narrow channel
STRAND|Hair, or leave stuck
STRAPS|Backpack shoulder bands
STREAK|Winning run
STREAM|Small creek
STREET|Where you live
STRESS|What the deadline brings
STRICT|Allowing no slack
STRIDE|Long step
STRIFE|Conflict
STRIKE|Bowling perfect, or a walkout
STRING|Bit of twine
STRIPE|Band of color
STRIPS|Long thin pieces
STROKE|Swimmer's style
STROLL|Leisurely walk
STRONG|Powerful
STRUCK|Hit
STUDIO|Where the album is recorded
STUPID|Not clever at all
STURDY|Built to take it
STYLES|Fashions
SUBDUE|Bring under control
SUBMIT|Turn in
SUBTLE|Not obvious
SUBURB|Outside the city proper
SUBWAY|Underground train
SUDDEN|All at once
SUFFER|Go through it
SUFFIX|Word ending
SUGARY|Very sweet
SULLEN|Silently grumpy
SUMMER|Beach season
SUMMIT|The top, or a big meeting
SUMMON|Call for
SUNDAE|Ice cream treat
SUNKEN|Below the surface
SUNSET|End-of-day sky
SUPPER|Evening meal
SUPPLY|What meets demand
SURELY|Without a doubt
SURFER|Wave rider
SURVEY|Questionnaire
SWEETS|Candies
SWERVE|Veer suddenly
SWITCH|Flip it for light
SWIVEL|Turn on a pivot
SWORDS|Blades of knights
SYMBOL|What stands for it
SYNTAX|How the sentence is built
SYSTEM|The whole works
TABLES|Dining surfaces
TACKLE|Bring down, or fishing gear
TACTIC|Move in a plan
TAILOR|Suit fitter
TAKING|Helping yourself to
TALENT|What the show hunts for
TALLER|Higher up
TAMPER|Meddle with
TANDEM|Bike for two
TANGLE|Knot of hair
TANKER|Oil ship
TARGET|What the arrow aims at
TARIFF|Import tax
TASSEL|Graduation cap dangler
TATTOO|Ink on the arm
TAUGHT|Passed on the lesson
TAVERN|Old-fashioned pub
TAXING|Really demanding
TEAPOT|Short and stout
TEDIUM|Boredom
TEMPER|What you lose
TEMPLE|Place of worship
TENANT|The one who rents
TENDER|Gentle, or sore
TENDON|Muscle cord
TENNIS|Love means nothing here
TENURE|Time in office
TERROR|Absolute fear
TETHER|Rope for tying
THANKS|Gratitude
THEORY|Not yet proved
THIRST|Water wanted
THIRTY|Half of sixty
THOUGH|Even so
THREAD|Needle's partner
THREAT|Menace
THRIFT|Careful with money
THRIVE|Do really well
THROAT|Where the sore is
THRONE|Royal seat
THRUST|Sharp push forward
THUMBS|Up or down
TICKET|Get in with it
TICKLE|Make them squirm and laugh
TIDBIT|Small morsel
TIGERS|Striped big cats
TIMBER|Shout before the tree falls
TIMELY|Right on cue
TIMING|Comedy's secret
TINDER|Fire starter
TINGLE|Pins and needles
TIPTOE|Walk quietly
TIRING|Wearing you out
TISSUE|What you reach for when you sneeze
TITLES|Book names
TOFFEE|Chewy caramel sweet
TOILET|Bathroom fixture
TOKENS|Arcade coins
TOMATO|Salad red
TONGUE|Taster in the mouth
TOPICS|Subjects
TOPPLE|Knock over
TORQUE|Twisting force
TOUCHY|Easily offended
TOWARD|In the direction of
TOWELS|Beach or bath
TOWERS|Tall structures
TRACKS|Rails, or footprints
TRADER|One on the floor
TRADES|Swaps
TRAGIC|Ending badly
TRAILS|Hiking routes
TRAINS|Platform arrivals
TRAITS|Family characteristics
TRAUMA|Deep shock
TRAVEL|Get about
TREATY|Signed peace deal
TREBLE|High pitched
TREMOR|Small quake
TRENCH|Long dug channel
TRENDS|Current fashions
TRIALS|Court cases
TRIBAL|Of the clan
TRIBES|Ancient groups
TRICKS|Halloween's other option
TRICKY|Hard to handle
TRIPLE|Three times over
TRIVIA|Pub quiz stuff
TROOPS|Soldiers
TROPHY|Cabinet silverware
TROPIC|Near the equator
TROUGH|Farm feeder
TRUANT|School skipper
TRUCKS|Eighteen-wheelers
TRUDGE|Plod along wearily
TRUNKS|Elephant noses
TUMBLE|Take a fall
TUNDRA|Arctic plain
TUNNEL|Under the mountain
TURBAN|Wrapped headgear
TURKEY|Thanksgiving bird
TURNIP|Root vegetable
TURTLE|Shelled reptile
TWELVE|Dozen
TWENTY|Score
TWINGE|Sudden pang
TYCOON|Business magnate
TYPING|At the keyboard
TYPIST|Keyboard worker
TYRANT|Cruel ruler
UNABLE|Can't manage it
UNDONE|Not finished, or come loose
UNEASY|A bit worried
UNEVEN|Bumpy
UNFAIR|Not right at all
UNFOLD|Open it out
UNIONS|Labor groups
UNIQUE|One of a kind
UNISON|All together now
UNITED|Brought together
UNLESS|Except if
UNLIKE|Not similar to
UNLOAD|Empty the van
UNLOCK|Turn the key
UNPACK|Empty the suitcase
UNREAL|Not to be believed
UNROLL|Spread out flat
UNSAFE|Risky
UNSEEN|Not noticed
UNSURE|Doubtful
UNTIDY|In need of a clear-up
UNTOLD|Never revealed
UNUSED|Never touched
UNWIND|Put your feet up
UPBEAT|Cheerful
UPDATE|Bring it current
UPHILL|The hard way
UPHOLD|Support
UPLIFT|Raise the spirits
UPLOAD|Send to a server
UPROAR|A right commotion
UPROOT|Pull out of the ground
UPTOWN|Away from the city center
UPWARD|Toward the sky
URCHIN|Ragged street kid
URGENT|It cannot wait
USABLE|Fit for use
USEFUL|Comes in handy
UTMOST|The very best you can do
UTOPIA|Perfect place
VACANT|No one home
VACUUM|Carpet cleaner, or empty space
VALLEY|Between the hills
VALUES|What you stand for
VANDAL|Property wrecker
VANISH|Disappear
VANITY|Excess pride
VARIED|Not all the same
VASTLY|By a huge amount
VECTOR|Arrow quantity
VEGGIE|Carrot, informally
VELVET|Soft plush fabric
VENDOR|Street seller
VENEER|Thin surface layer
VENUES|Event places
VERBAL|In words
VERIFY|Confirm
VERSES|Song sections
VERSUS|Against
VESSEL|Ship, or a container
VIABLE|Workable
VICTIM|The one it happened to
VICTOR|The winner
VIEWER|One watching
VIOLET|Shy flower, or a purple
VIOLIN|Bowed string instrument
VIRTUE|Patience, for one
VISION|Eyesight, or a big idea
VISITS|Calls on
VISUAL|To do with seeing
VOCALS|Singing part
VOICES|Choir's instruments
VOLLEY|Return before the bounce
VOLUME|How loud, or a book
VOTERS|Election deciders
VOWELS|A, E, I, O and U
VOYAGE|Long sea trip
WADDLE|Duck's walk
WAFFLE|Breakfast grid, or waffle on
WAGONS|Circle them
WAITER|Order taker
WAIVER|Signed release
WAKING|Coming to
WALKER|Stroller
WALLET|Where the cash is
WALLOW|Roll in mud
WALNUT|Brain-shaped nut
WALRUS|Tusked sea mammal
WANDER|Roam about
WARDEN|Prison boss
WARMER|Getting closer, in the game
WARMLY|In a friendly way
WARMTH|What the fire gives
WASHER|Laundry machine, or a little ring
WATERS|Seas
WATERY|Thin and diluted
WAVING|Greeting with a hand
WEAKEN|Sap the strength of
WEAKER|Less strong
WEALTH|Serious money
WEAPON|What the crime was done with
WEASEL|Sneaky little animal
WEAVER|Loom worker
WEEKLY|Every seven days
WEIGHT|What the scale reads
WELDER|Metal joiner
WHALES|Ocean giants
WHEELS|Four on a car
WHIMSY|Playful fancy
WHITEN|Bleach
WHOLLY|Entirely
WICKED|Wonderfully bad
WICKER|Basket material
WIDELY|All over the place
WIDEST|Broadest of all
WIGGLE|Little wriggle
WILDLY|In a frenzy
WILLOW|Weeping tree
WINDOW|You look out of it
WINERY|Vineyard business
WINNER|First across the line
WINTER|Snow season
WIPERS|Windshield blades
WIRING|What the electrician does
WISDOM|What the years bring
WISELY|With good judgment
WISHES|Desires
WITHER|Shrivel up
WITHIN|Inside of
WIZARD|Robed spell caster
WOBBLE|Rock unsteadily
WOMBAT|Burrowing marsupial
WONDER|Marvel at
WOODEN|Made of timber
WOOLEN|Like a winter jumper
WORKER|One on the job
WORSEN|Go downhill
WORTHY|Deserving
WOUNDS|Injuries
WREATH|Round door decoration
WRENCH|Nut turner
WRITER|Author
YEARLY|Once every twelve months
YELLOW|Banana color
YOGURT|Cultured breakfast pot
YONDER|Over there
ZEBRAS|Striped animals
ZIGZAG|Back and forth line
ZIPPER|Jacket closer
ZODIAC|Twelve signs
ZOMBIE|Walking dead one
ABDOMEN|Belly
ABSORBS|Soaks up
ABSTAIN|Sit the vote out
ACADEMY|School of a special kind
ACCLAIM|Loud praise
ACHIEVE|Pull it off
ACQUIRE|Get hold of
ACROBAT|Circus tumbler
ACRYLIC|Paint type
ACTRESS|Leading lady
ADAMANT|Not budging
ADAPTED|Adjusted to fit
ADJOURN|Break off the meeting
ADMIRAL|Fleet's top rank
ADMIRER|One with a crush
ADOPTED|Taken in as family
AILMENT|Minor complaint
AIRMAIL|By plane, in the post
ALLERGY|Hay fever cause
ALMONDS|Marzipan nuts
ALREADY|By this time
AMAZING|Really something
AMMONIA|Sharp cleaning smell
AMONGST|In the middle of
AMPLIFY|Turn it up
AMUSING|Good for a smile
ANALOGY|Comparison
ANALYST|One who studies the numbers
ANATOMY|Body's structure
ANGUISH|Deep pain
ANNOYED|Irritated
ANTENNA|Signal rod
ANTIQUE|Old collectible
ANXIETY|Nervous worry
APOLOGY|The word sorry
APPAREL|Clothing
APPLIED|Put in for it
APPOINT|Name to the post
APPROVE|Give the nod
APRICOT|Small orange stone fruit
AQUATIC|Of the water
ARCHERY|Bow sport
ARCHIVE|Old records store
ARRANGE|Set it up
ARRIVAL|Coming in
ARSENAL|Weapons store
ARTWORK|Gallery pieces
ASHTRAY|Where the stub goes
ASPHALT|Road surface
ASSAULT|Attack
ASSURED|Made certain of
ATHLETE|Track star
ATTRACT|Draw in
AUDIBLE|Loud enough to hear
AVIATOR|Old-time pilot
AWKWARD|Clumsy
BACKING|Support
BALANCE|What's left in the account
BALLOON|Party inflatable
BANANAS|Bunch fruit
BAPTISM|Font ceremony
BARRIER|Something in the way
BASHFUL|One of the seven dwarfs, and shy
BATHTUB|Where you soak
BEACHES|Sandy stretches
BEARDED|Having facial hair
BEATING|A thrashing
BECAUSE|For the reason that
BECOMES|Turns into
BEEHIVE|Where the honey is
BELIEVE|Take as true
BENDING|Curving
BERRIES|Small juicy fruits
BESIDES|In addition
BIGGEST|The largest of all
BILLION|Thousand million
BIOLOGY|Study of living things
BISCUIT|Gravy's partner
BLENDER|Smoothie maker
BLESSED|Fortunate
BLINDLY|With no idea where
BLISTER|Heel's complaint
BLOCKED|Stopped up
BLOOMED|Flowered
BLUNDER|Big mistake
BOASTED|Bragged
BOATING|On the lake
BOILING|At a rolling heat
BOLDEST|Most daring of all
BONFIRE|Garden blaze
BOOKLET|Little pamphlet
BOOSTER|Rocket stage, or a shot
BOREDOM|Lack of interest
BOUQUET|Bunch of flowers
BOYCOTT|Refuse to buy
BRACKET|Shelf support
BRAIDED|Plaited
BRAVERY|Facing the danger
BREADTH|How wide
BREAKUP|Split of a couple
BREWERY|Where the beer is made
BRIBERY|Money under the table
BRIEFLY|In short
BRIGADE|Fire team
BRISTLE|Brush hair
BRITTLE|Easily snapped
BROADLY|In general terms
BROUGHT|Fetched along
BROWSER|Web window
BUFFALO|Plains beast
BULLETS|What the clip holds
BUNDLES|Tied-up armfuls
BURGLAR|Night intruder
BUSIEST|Most rushed off their feet
BUTCHER|Meat seller
BUTTONS|Shirt fasteners
BUZZING|Making a bee sound
CALCIUM|Bone mineral
CALMEST|Most serene of all
CAMPERS|Tent dwellers
CANNONS|Old artillery
CAPABLE|Up to the job
CAPITAL|Paris, for France
CAPSULE|Pill
CAPTIVE|Prisoner
CAPTURE|Take prisoner
CARAVAN|Desert train
CARDIAC|Of the heart
CAREFUL|Taking no chances
CARRIER|Aircraft ship, or a mail worker
CARRIES|Takes along
CARROTS|Rabbit food
CASCADE|Tumbling waterfall
CASHIER|Checkout worker
CATCHER|Behind the plate
CAUTION|Take care
CAVERNS|Big caves
CENTURY|Hundred years
CERAMIC|Pottery's material
CEREALS|Breakfast boxes
CHAIRED|Ran the meeting
CHALICE|Ceremonial cup
CHANGES|Alterations
CHARGED|Rushed, or billed
CHARGER|Phone's cable
CHARIOT|Ancient racing cart
CHARMED|Won over
CHASING|Running after
CHATTER|Idle talk
CHEAPER|Less dear
CHECKED|Looked over
CHEERED|Roared support
CHEESES|Brie and gouda
CHEMIST|Lab worker
CHEWING|Working the jaw
CHOICES|Options
CHOPPED|Cut small
CHUCKLE|Quiet laugh
CIRCLED|Went around
CLAIMED|Said it was theirs
CLAPPED|Applauded
CLASSIC|Timeless
CLEANED|Tidied up
CLEANER|One with the mop
CLEARLY|Plain to see
CLIMBED|Scaled
CLIPPER|Fast sailing ship
CLOSING|Shutting up
CLOTHED|Dressed
CLOUDED|Overcast
CLUSTER|Tight group
COASTAL|By the sea
COBBLER|Shoe mender
COCKPIT|Where the pilot sits
COCONUT|Hairy tropical nut
COLLARS|Shirt necks
COLONEL|Above a major
COLORED|Tinted
COLUMNS|Pillars
COMBINE|Put together
COMMUTE|Daily journey to work
COMPOSE|Write the music
CONCEAL|Hide away
CONCEDE|Admit defeat
CONCISE|Brief and clear
CONDUIT|Pipe for wires
CONFESS|Own up
CONFUSE|Muddle
CONQUER|Take by force
CONSIST|Be made up of
CONSOLE|Comfort, or a games box
CONSUME|Use it up
CONTOUR|Outline shape
CONVERT|Change over
CONVICT|One inside
COOLING|Chilling down
CORNERS|Where the streets meet
COUGHED|Cleared the throat
COUNSEL|Advice
COUNTER|Kitchen surface
CRACKED|Split open
CRACKLE|Fire's sound
CRADLES|Baby beds
CRAMPED|Not enough room
CRAWLED|Moved on all fours
CREATES|Makes
CREATOR|The maker
CREVICE|Narrow crack
CRIMSON|Deep red
CRISPER|Fridge drawer
CROCHET|Hook and yarn craft
CROOKED|Bent, or dishonest
CROUTON|Salad's crunch
CROWDED|Packed
CRUELTY|Unkindness
CRUMBLE|Fall to bits
CRUSADE|Determined campaign
CUPCAKE|Little iced sponge
CURIOUS|Nosy, or odd
CURRENT|Right now, or the flow
CUSHION|Sofa pad
CUTLERY|Knives and forks
CYCLING|On two wheels
CYCLONE|Spinning storm
DAMAGED|Harmed
DANCING|On the floor
DANGERS|Risks
DAZZLED|Blinded by the light
DEALING|Handing out
DEBATED|Argued it out
DECADES|Ten-year spans
DECAYED|Rotted
DECEIVE|Trick
DECIMAL|Point in the number
DECLARE|State outright
DEFEATS|Losses
DEFICIT|What the books are short
DEFINED|Said what it means
DELAYED|Held up
DELIGHT|Real pleasure
DENSITY|Compactness
DENYING|Refusing to admit
DEPARTS|Leaves
DEPENDS|It all
DEPICTS|Shows
DESCEND|Go down
DESERVE|Have it coming
DESIRED|Much wanted
DESKTOP|Where the computer sits
DESPAIR|Losing all hope
DESPISE|Loathe
DESTINY|What is fated
DESTROY|Wreck utterly
DETECTS|Picks up on
DEVOTED|Absolutely loyal
DIAGRAM|Labeled drawing
DIALECT|Local way of speaking
DIAPERS|Baby's wraps
DICTATE|Say for writing down
DIGGING|Making a hole
DILEMMA|Rock and a hard place
DILUTED|Watered down
DIMPLES|Cheek indents
DIRECTS|Points the way
DISABLE|Switch it off
DISCARD|Throw it away
DISEASE|Illness
DISLIKE|Not care for
DISMISS|Send away
DISPOSE|Get rid of
DISPUTE|Argue over
DISTURB|Interrupt
DIVIDES|Splits up
DIVORCE|Marriage's end
DOCTORS|Ward staff
DOLLARS|Greenbacks
DONATED|Gave to the cause
DOORWAY|The frame you walk through
DOUBLED|Twice as much
DOUBTED|Wasn't sure about
DRAINED|Emptied out
DREADED|Feared the worst of
DREAMER|Head in the clouds
DRESSER|Bedroom chest
DRIFTED|Floated along
DRILLED|Bored a hole
DRIVING|At the wheel
DROPLET|Little bead of water
DROUGHT|Long dry spell
DRUMMER|Beat keeper
DURABLE|Built to last
DYNAMIC|Full of energy
EAGERLY|Keenly
EARLIER|Before that
EARNEST|Deadly serious
EARRING|Lobe jewelry
EASIEST|Least trouble of all
ECLIPSE|Sun's blackout
ECOLOGY|Study of habitats
EDITING|Blue-pencilling
EDUCATE|Teach
ELASTIC|Stretchy
ELECTED|Voted in
ELEVATE|Raise up
ELUSIVE|Hard to pin down
EMBRACE|Hug
EMERALD|Green gem
EMPEROR|Empire's ruler
EMPTIED|Poured out
ENABLED|Made possible
ENCHANT|Cast a spell over
ENCLOSE|Fence it in
ENDLESS|Going on forever
ENFORCE|Make them keep to it
ENGAGED|About to marry
ENLARGE|Blow it up
ENSURED|Made certain of
ENTITLE|Give the right to
ENVIOUS|Green-eyed
EQUATOR|The middle line
ERRANDS|Little trips out
ERUPTED|Blew its top
ESCAPES|Gets away
ESSENCE|The heart of it
ESTATES|Big properties
ETERNAL|Everlasting
EVIDENT|Plain to see
EXACTLY|Precisely
EXAMINE|Look closely at
EXCERPT|Passage taken from it
EXCLAIM|Cry out
EXCLUDE|Leave out
EXHAUST|Car's pipe, or wear out
EXPANDS|Grows bigger
EXPECTS|Counts on it
EXPERTS|The ones who know
EXPIRED|Out of date
EXPORTS|What the country sells abroad
EXPOSED|Brought to light
EXTINCT|Gone for good
EXTRACT|Pull it out
FABRICS|Bolts at the cloth shop
FACTUAL|Based on truth
FACULTY|Teaching staff
FAILING|Not managing it
FAINTED|Passed out
FAIREST|Most just of all
FALLING|On the way down
FASTEST|Quickest of all
FATIGUE|Real tiredness
FAUCETS|Taps
FEARFUL|In a fright
FEEDING|Giving food to
FEELING|Emotion
FERTILE|Good for growing
FESTIVE|In holiday spirits
FIGHTER|One in the ring
FILTERS|Coffee papers
FINALLY|At long last
FINANCE|Money matters
FITTING|Suitable, or a try-on
FIXTURE|Match on the calendar
FLAMING|On fire
FLANNEL|Soft cloth
FLASHED|Blinked bright
FLATTEN|Level it out
FLATTER|Butter them up
FLEEING|Running away
FLICKER|Candle's waver
FLIGHTS|Departures board list
FLIPPED|Turned over
FLOATED|Stayed on top
FLOODED|Under water
FLOWING|Running along
FLUENCY|Ease with a language
FLUTTER|Butterfly's motion
FOLDING|Creasing over
FOLIAGE|The greenery
FOREARM|Elbow to wrist
FOREIGN|From abroad
FOREVER|For all time
FORGAVE|Let it go
FORGERY|Faked signature
FORGIVE|Let it go
FORMING|Taking shape
FORMULA|The recipe for it
FOUNDER|The one who started it
FRAMING|Putting it behind glass
FRANTIC|In a real state
FREIGHT|Cargo
FRESHLY|Newly
FROSTED|Iced over
FULFILL|Carry it out
FUNNIER|More of a laugh
FURNACE|Basement heater
FURTHER|Beyond that
GADGETS|Handy little devices
GALLONS|Four quarts each
GAMBLER|One at the tables
GARBAGE|Rubbish
GARLAND|Flower chain
GARMENT|Item of clothing
GARNISH|Plate's finishing touch
GATHERS|Brings together
GAZELLE|Swift antelope
GELATIN|Dessert thickener
GENERIC|Off brand
GINGHAM|Checked cotton
GLACIER|Slow river of ice
GLIDING|Soaring smoothly
GLIMMER|Faint light
GLISTEN|Shine with wet
GLITTER|Craft sparkle
GOODBYE|Parting word
GORILLA|Big ape
GOURMET|Fine food lover
GOVERNS|Rules the country
GRABBED|Snatched
GRADUAL|Bit by bit
GRANDPA|Mother's father
GRANTED|Taken for
GRAPHIC|Vividly detailed
GRAPPLE|Wrestle with
GRASPED|Took hold of
GRAZING|Cattle's meal
GREATLY|Very much
GREETED|Said hello to
GRENADE|Thrown explosive
GRINDER|Coffee bean mill
GRIPPED|Held tight
GROOMED|Made presentable
GROUNDS|Coffee's leavings, or the estate
GROUPED|Put together
GROWING|Getting bigger
GRUMBLE|Moan quietly
GUARDED|Watched over
GUESSED|Took a stab
GUIDING|Showing the way
GUITARS|Six-string instruments
GYMNAST|Beam performer
HAIRCUT|Barber's work
HALFWAY|Midpoint
HAMMOCK|Hanging bed
HANDFUL|As much as you can hold
HANDLES|Door grips
HANDOUT|Free giveaway
HAPPIER|In better spirits
HARDEST|Toughest of all
HARMFUL|It does damage
HARMONY|Singing in it
HARNESS|Horse's straps
HASTILY|In a rush
HATCHED|Broke out of a shell
HAUNTED|Ghost-ridden
HAZARDS|Dangers
HEADING|Title at the top
HEALING|Getting better
HEAPING|Piled high
HEAVILY|With real weight
HEIGHTS|Tall places
HELPERS|Assistants
HEROINE|The leading lady
HERRING|Red one, in a mystery
HIDEOUS|Very ugly
HIGHEST|Topmost
HILLTOP|Where the view is
HINDERS|Gets in the way of
HOBBIES|Spare-time pursuits
HOLDING|Keeping hold of
HONORED|Given the tribute
HOPEFUL|Looking on the bright side
HORIZON|Where sky meets land
HOSTAGE|One held for ransom
HOTTEST|Warmest of all
HOWEVER|Even so
HUMBLED|Brought down a peg
HUNTERS|Ones who track
HURDLES|Track barriers
HURRIED|Rushed
HURTING|In pain
HYGIENE|Keeping clean
ICEBERG|Titanic's undoing
IGNITED|Set alight
IGNORED|Paid no attention to
ILLNESS|Being unwell
IMAGERY|Pictures in the writing
IMITATE|Copy
IMMENSE|Absolutely vast
IMPEACH|Charge an official
IMPLIED|Hinted at
IMPORTS|What the country buys in
IMPOSED|Forced it on them
IMPRESS|Win them over
IMPRINT|Mark left behind
IMPULSE|Sudden urge
INCLINE|Slope
INDULGE|Treat yourself
INFANTS|The very young
INFERNO|Raging fire
INFIELD|Diamond area
INFLATE|Pump it up
INFORMS|Lets them know
INHALED|Breathed in
INHERIT|Get it from the will
INJURED|Hurt
INKWELL|Desk's old fitting
INQUIRE|Ask about
INSECTS|Six-legged crawlers
INSIDER|One in the know
INSIGHT|Sharp understanding
INSPECT|Look it over
INSPIRE|Fire them up
INSTALL|Fit it in place
INSULTS|Rude remarks
INSURED|Covered by the policy
INTEGER|Whole number
INVADED|Marched in
INVALID|Not good in law
INVENTS|Dreams up
INVERSE|The other way round
INVOICE|Bill
INVOLVE|Draw them in
IRONING|Board's business
ISOLATE|Keep it apart
ITCHING|Wanting a scratch
JACKPOT|Big prize pot
JASMINE|Fragrant flower
JAWBONE|Chin support
JEWELRY|Rings and necklaces
JOGGING|Slow running
JOINING|Becoming a member
JUGGLER|Circus act
JUSTIFY|Give a reason for
KERNELS|Corn's grains
KIDDING|Joking
KIDNEYS|Body's filters
KINDEST|Most thoughtful of all
KNEELED|Went down on one knee
KNITTED|Made with needles
KNOCKED|Rapped on the door
KNOTTED|Tied up
KNOWING|Aware
LABELED|Named with a sticker
LACKING|Short of it
LADYBUG|Spotted beetle
LAGGING|Falling behind
LANDING|Top of the stairs
LAPTOPS|Portable computers
LARGEST|The biggest of all
LASTING|It will keep
LATERAL|To the side
LATTICE|Crossed garden frame
LAUGHED|Got the joke
LAWSUIT|Court action
LAYERED|In several thicknesses
LEADING|Out in front
LEAGUES|Where the teams play
LEAKING|Dripping through
LEANING|Tilting
LEAPING|Bounding
LEARNER|Beginner
LEASING|Renting out
LEGALLY|In the eyes of the law
LEGENDS|Great ones
LENDING|Loaning out
LENGTHS|Pool laps
LENIENT|Going easy on them
LEOPARD|Spotted cat
LESSONS|What the teacher gives
LETTUCE|Salad leaf
LIFTING|Raising
LIGHTLY|With a soft touch
LIKABLE|Easy to get on with
LINGERS|Hangs about
LIQUIDS|Neither solids nor gases
LISTING|Property ad
LITERAL|To the letter
LOADING|Filling up
LOAFERS|Slip-on shoes
LOCATED|Found
LOCKING|Securing
LODGING|Bed for the night
LOGGING|Felling trees
LONGEST|Least short of all
LONGING|Deep yearning
LOOKING|Having a peek
LOOSELY|Not tightly
LOWERED|Brought down
LUCKILY|As it happened
LULLABY|Bedtime song
LUNCHES|Midday meals
LURKING|Waiting unseen
MADNESS|Sheer lunacy
MAGICAL|Enchanting
MAGNETS|Fridge stickers
MAILING|Sending post
MAMMOTH|Woolly extinct beast
MANAGED|Got it done
MANATEE|Sea cow
MANHOLE|Street cover
MANKIND|All of us
MARCHES|Parades along
MARGINS|Page's blank edges
MARKING|Making a spot
MARRIED|Wed
MARTIAL|Of the fighting arts
MASSAGE|Rub down
MATCHED|Paired up
MATCHES|Fire starters
MATURED|Grew up
MEANEST|Nastiest
MEASLES|Spotty illness
MEDIATE|Help settle a dispute
MELTING|Turning to liquid
MEMOIRS|Life story in print
MENDING|Repairing
MENTORS|Wise guides
MERRILY|Cheerfully
METHODS|Ways of doing it
MIGRATE|Fly south
MILEAGE|How far it goes
MINDFUL|Keeping it in mind
MINIMAL|As little as possible
MINIMUM|The least there can be
MIRRORS|Where you check your hair
MISLEAD|Point them the wrong way
